lstat,medv.log
4.98,3.17805383
9.14,3.072693315
4.03,3.546739687
2.94,3.5085559
5.33,3.589059119
5.21,3.356897123
12.43,3.131136911
19.15,3.299533728
29.93,2.803360381
17.1,2.939161922
20.45,2.708050201
13.27,2.939161922
15.71,3.077312261
8.26,3.015534901
10.26,2.901421594
8.47,2.990719732
6.58,3.139832618
14.67,2.862200881
11.69,3.005682604
11.28,2.901421594
21.02,2.610069793
13.83,2.975529566
18.72,2.721295428
19.88,2.674148649
16.3,2.747270914
16.51,2.63188884
14.81,2.809402695
17.28,2.694627181
12.8,2.912350665
11.98,3.044522438
22.6,2.541601993
13.04,2.674148649
27.71,2.58021683
18.35,2.57261223
20.34,2.602689685
9.68,2.939161922
11.41,2.995732274
8.77,3.044522438
10.13,3.206803244
4.32,3.42751469
1.98,3.552486829
4.84,3.280911216
5.81,3.230804396
7.44,3.206803244
9.55,3.054001182
10.21,2.960105096
14.15,2.995732274
18.8,2.809402695
30.81,2.667228207
16.2,2.965273066
13.45,2.980618636
9.43,3.020424886
5.28,3.218875825
8.43,3.152736022
14.8,2.939161922
4.81,3.56671182
5.77,3.206803244
3.95,3.453157121
6.86,3.148453361
9.22,2.975529566
13.15,2.928523524
14.44,2.772588722
6.73,3.100092289
9.5,3.218875825
8.05,3.496507561
4.67,3.157000421
10.24,2.965273066
8.1,3.091042453
13.09,2.856470206
8.79,3.039749159
6.72,3.186352633
9.88,3.077312261
5.52,3.126760536
7.54,3.152736022
6.78,3.18221184
8.94,3.063390922
11.97,2.995732274
10.27,3.034952987
12.34,3.054001182
9.1,3.010620886
5.29,3.33220451
7.22,3.173878459
6.72,3.210843653
7.51,3.131136911
9.62,3.173878459
6.53,3.280911216
12.86,3.113515309
8.44,3.100092289
5.5,3.161246712
5.7,3.356897123
8.81,3.117949906
8.2,3.091042453
8.16,3.131136911
6.21,3.218875825
10.59,3.025291076
6.65,3.346389145
11.34,3.063390922
4.21,3.6558396
3.57,3.779633817
6.19,3.502549876
9.42,3.314186005
7.67,3.277144733
10.63,2.923161581
13.44,2.960105096
12.33,3.000719815
16.47,2.970414466
18.66,2.970414466
14.09,3.015534901
12.27,2.985681938
15.55,2.965273066
13,3.077312261
10.16,3.126760536
16.21,2.93385687
17.09,2.928523524
10.45,2.917770732
15.76,2.90690106
12.04,3.054001182
10.3,2.954910279
15.37,3.015534901
13.61,2.960105096
14.37,3.091042453
14.27,3.010620886
17.93,3.020424886
25.41,2.850706502
17.58,2.93385687
14.81,3.063390922
27.26,2.753660712
17.19,2.785011242
15.39,2.890371758
18.34,2.660259537
12.6,2.954910279
12.26,2.975529566
11.12,3.135494216
15.03,2.912350665
17.31,2.747270914
16.96,2.895911938
16.9,2.856470206
14.59,2.839078464
21.32,2.587764035
18.46,2.879198457
